tradeId,lender,borrower,cusip,tradeDate,settlementDate,collateralQuantity,price,term,repoRate,startAmount,endAmount,currency
1,Barclays,HSBC,E02PA498,2018-11-23,2018-11-26,6250000,95,26,5.95,5937500,6500000,USD
2,Barclays,HSBC,RN5PI6NR,2018-11-23,2018-11-26,1150000,95,26,5.95,1092500,1200000,USD
3,Barclays,HSBC,H0O253P6,2018-11-23,2018-11-26,2350000,95,26,5.95,2232500,2500000,USD
4,Barclays,HSBC,H8QHQ5OA,2018-11-23,2018-11-26,7250000,95,26,5.95,6887500,7600000,USD
5,Barclays,HSBC,FO6D956F,2018-11-23,2018-11-26,300000,95,26,5.95,285000,310000,USD
6,Barclays,HSBC,DALQ3BL5,2018-11-23,2018-11-26,3400000,95,26,5.95,3230000,3600000,USD
7,Barclays,HSBC,44C9DPJM,2018-11-23,2018-11-26,8950000,95,26,5.95,8502500,9400000,USD
8,Barclays,HSBC,A3RHLM9M,2018-11-23,2018-11-26,4700000,95,26,5.95,4465000,4900000,USD
9,Barclays,HSBC,0M0ONAFS,2018-11-23,2018-11-26,9750000,95,26,5.95,9262500,10000000,USD
10,Barclays,HSBC,A3RHLM9M,2018-11-23,2018-11-26,4950000,95,26,5.95,4702500,5200000,USD
11,HSBC,Barclays,E02PA498,2018-11-23,2018-11-26,6250000,95,26,5.95,5937500,6500000,USD
12,HSBC,Barclays,RN5PI6NR,2018-11-23,2018-11-26,1150000,95,26,5.95,1092500,1200000,USD
13,HSBC,Barclays,H0O253P6,2018-11-23,2018-11-26,2350000,95,26,5.95,2232500,2500000,USD
14,HSBC,Barclays,H8QHQ5OA,2018-11-23,2018-11-26,7250000,95,26,5.95,6887500,7600000,USD
15,HSBC,Barclays,FO6D956F,2018-11-23,2018-11-26,300000,95,26,5.95,285000,310000,USD
16,HSBC,Barclays,DALQ3BL5,2018-11-23,2018-11-26,3400000,95,26,5.95,3230000,3600000,USD
17,HSBC,Barclays,44C9DPJM,2018-11-23,2018-11-26,8950000,95,26,5.95,8502500,9400000,USD
18,HSBC,Barclays,A3RHLM9M,2018-11-23,2018-11-26,4700000,95,26,5.95,4465000,4900000,USD
19,HSBC,Barclays,0M0ONAFS,2018-11-23,2018-11-26,9750000,95,26,5.95,9262500,10000000,USD
20,HSBC,Barclays,A3RHLM9M,2018-11-23,2018-11-26,4950000,95,26,5.95,4702500,5200000,USD
