tradeId,lender,borrower,cusip,tradeDate,settlementDate,collateralQuantity,price,term,repoRate,startAmount,endAmount,currency
1,Barclays,HSBC,E02PA498,2018-11-23,2018-11-26,6250000,95,26,5.95,5937500,6500000,USD
2,Barclays,HSBC,RN5PI6NR,2018-11-23,2018-11-26,1150000,95,26,5.95,1092500,1200000,USD
3,Barclays,HSBC,H0O253P6,2018-11-23,2018-11-26,2350000,95,26,5.95,2232500,2500000,USD
4,Barclays,HSBC,H8QHQ5OA,2018-11-23,2018-11-26,7250000,95,26,5.95,6887500,7600000,USD
5,Barclays,HSBC,FO6D956F,2018-11-23,2018-11-26,300000,95,26,5.95,285000,310000,USD
6,Barclays,HSBC,DALQ3BL5,2018-11-23,2018-11-26,3400000,95,26,5.95,3230000,3600000,USD
7,Barclays,HSBC,44C9DPJM,2018-11-23,2018-11-26,8950000,95,26,5.95,8502500,9400000,USD
8,Barclays,HSBC,A3RHLM9M,2018-11-23,2018-11-26,4700000,95,26,5.95,4465000,4900000,USD
9,Barclays,HSBC,0M0ONAFS,2018-11-23,2018-11-26,9750000,95,26,5.95,9262500,10000000,USD
10,Barclays,HSBC,A3RHLM9M,2018-11-23,2018-11-26,4950000,95,26,5.95,4702500,5200000,USD
11,Barclays,JPMorgan,E02PA498,2018-11-23,2018-11-26,5350000,95,26,5.95,5082500,5600000,USD
12,Barclays,JPMorgan,RN5PI6NR,2018-11-23,2018-11-26,5750000,95,26,5.95,5462500,6000000,USD
13,Barclays,JPMorgan,H0O253P6,2018-11-23,2018-11-26,5250000,95,26,5.95,4987500,5500000,USD
14,Barclays,JPMorgan,H8QHQ5OA,2018-11-23,2018-11-26,750000,95,26,5.95,712500,780000,USD
15,Barclays,JPMorgan,FO6D956F,2018-11-23,2018-11-26,7000000,95,26,5.95,6650000,7300000,USD
16,Barclays,JPMorgan,DALQ3BL5,2018-11-23,2018-11-26,6200000,95,26,5.95,5890000,6500000,USD
17,Barclays,JPMorgan,44C9DPJM,2018-11-23,2018-11-26,7250000,95,26,5.95,6887500,7600000,USD
18,Barclays,JPMorgan,A3RHLM9M,2018-11-23,2018-11-26,6750000,95,26,5.95,6412500,7100000,USD
19,Barclays,JPMorgan,0M0ONAFS,2018-11-23,2018-11-26,6850000,95,26,5.95,6507500,7200000,USD
20,Barclays,JPMorgan,A3RHLM9M,2018-11-23,2018-11-26,6550000,95,26,5.95,6222500,6800000,USD
